id,theme,question_text,option_a,option_b,option_c,option_d,correct_answer,image_url
19,Institutions et Pratiques,Quel est le nom de l’organe administratif mondial de la foi bahá’íe ?,Assemblées Spirituelles Locales,Maison Universelle de Justice,Conseil International d’Enseignement,Gardiennat,Maison Universelle de Justice,
20,Institutions et Pratiques,Combien de membres composent la Maison Universelle de Justice ?,5,7,9,12,9,
21,Institutions et Pratiques,Quel est le nom des temples bahá’ís ?,Mosquées,Églises,Maisons d’Adoration,Synagogues,Maisons d’Adoration,
22,Institutions et Pratiques,Combien de jours dure le jeûne bahá’í ?,7,19,30,40,19,
23,Institutions et Pratiques,Quel est le nom des fêtes bahá’íes célébrant le début du mois ?,Ayyám-i-Há,Naw-Rúz,Ridván,Fêtes des Dix-Neuf Jours,Fêtes des Dix-Neuf Jours,
24,Institutions et Pratiques,Quel est le nom de la fête bahá’íe célébrant le nouvel an ?,Ayyám-i-Há,Naw-Rúz,Ridván,Fêtes des Dix-Neuf Jours,Naw-Rúz,
25,Institutions et Pratiques,Quel est le nom de la fête bahá’íe célébrant la déclaration de Bahá’u’lláh ?,Ayyám-i-Há,Naw-Rúz,Ridván,Fêtes des Dix-Neuf Jours,Ridván,
26,Institutions et Pratiques,Quel est le nom de la période de jeûne bahá’íe ?,Ayyám-i-Há,Naw-Rúz,Ridván,Jeûne,Jeûne,
27,Institutions et Pratiques,Quel est le nom des jours intercalaires dans le calendrier bahá’í ?,Ayyám-i-Há,Naw-Rúz,Ridván,Fêtes des Dix-Neuf Jours,Ayyám-i-Há,
28,Institutions et Pratiques,Combien de jours compte Ayyám-i-Há ?,4 ou 5,7,19,30,4 ou 5,
29,Institutions et Pratiques,Quel est le nom des assemblées spirituelles locales ?,Assemblées Spirituelles Locales,Maison Universelle de Justice,Conseil International d’Enseignement,Gardiennat,Assemblées Spirituelles Locales,
30,Institutions et Pratiques,Combien de membres composent une Assemblée Spirituelle Locale ?,5,7,9,12,9,
31,Institutions et Pratiques,Quel est le nom des assemblées spirituelles nationales ?,Assemblées Spirituelles Nationales,Maison Universelle de Justice,Conseil International d’Enseignement,Gardiennat,Assemblées Spirituelles Nationales,
32,Institutions et Pratiques,Combien de membres composent une Assemblée Spirituelle Nationale ?,5,7,9,12,9,
33,Institutions et Pratiques,Quel est le nom de l’organe administratif mondial de la foi bahá’íe ?,Assemblées Spirituelles Locales,Maison Universelle de Justice,Conseil International d’Enseignement,Gardiennat,Maison Universelle de Justice,
34,Institutions et Pratiques,Combien de membres composent la Maison Universelle de Justice ?,5,7,9,12,9,
35,Histoire,Où est né Bahá’u’lláh ?,Téhéran,Shiraz,Bagdad,Acre,Téhéran,
36,Histoire,Où a été exilé Bahá’u’lláh en dernier lieu ?,Téhéran,Bagdad,Constantinople,Acre,Acre,
37,Histoire,En quelle année Bahá’u’lláh a-t-il déclaré sa mission ?,1844,1853,1863,1892,1863,
38,Histoire,Quel événement marque le début du calendrier bahá’í ?,La naissance de Bahá’u’lláh,La déclaration du Báb,La mort de Bahá’u’lláh,La construction du premier temple bahá’í,La déclaration du Báb,
39,Histoire,Où se trouve le siège mondial de la foi bahá’íe ?,Téhéran,Haïfa,Bagdad,Acre,Haïfa,
40,Histoire,En quelle année le Báb a-t-il déclaré sa mission ?,1844,1853,1863,1892,1844,
41,Histoire,Où le Báb a-t-il été emprisonné avant son exécution ?,Téhéran,Shiraz,Tabriz,Acre,Tabriz,
42,Histoire,Quel événement marque le début du calendrier bahá’í ?,La naissance de Bahá’u’lláh,La déclaration du Báb,La mort de Bahá’u’lláh,La construction du premier temple bahá’í,La déclaration du Báb,
43,Histoire,En quelle année Bahá’u’lláh a-t-il été exilé à Bagdad ?,1853,1863,1868,1892,1853,
44,Histoire,En quelle année Bahá’u’lláh a-t-il été exilé à Constantinople ?,1863,1868,1877,1892,1863,
45,Histoire,En quelle année Bahá’u’lláh a-t-il été exilé à Andrinople ?,1863,1868,1877,1892,1868,
46,Histoire,En quelle année Bahá’u’lláh a-t-il été exilé à Acre ?,1868,1877,1892,1900,1868,
47,Histoire,En quelle année Bahá’u’lláh a-t-il déclaré sa mission ?,1844,1853,1863,1892,1863,
48,Histoire,En quelle année Bahá’u’lláh est-il décédé ?,1863,1877,1892,1900,1892,
49,Histoire,Où Bahá’u’lláh est-il enterré ?,Téhéran,Shiraz,Bagdad,Acre,Acre,
50,Histoire,En quelle année ‘Abdu’l-Bahá est-il né ?,1844,1853,1863,1892,1844,
51,Histoire,En quelle année ‘Abdu’l-Bahá est-il décédé ?,1863,1877,1892,1921,1921,
52,Histoire,Où ‘Abdu’l-Bahá est-il enterré ?,Téhéran,Shiraz,Bagdad,Haïfa,Haïfa,
53,Histoire,En quelle année Shoghi Effendi est-il né ?,1844,1853,1863,1897,1897,
54,Histoire,En quelle année Shoghi Effendi est-il décédé ?,1921,1937,1957,1963,1957,
55,Histoire,Où Shoghi Effendi est-il enterré ?,Téhéran,Shiraz,Bagdad,Londres,Londres,
56,Histoire,En quelle année la Maison Universelle de Justice a-t-elle été élue pour la première fois ?,1921,1937,1957,1963,1963,
57,Histoire,Où se trouve le siège mondial de la foi bahá’íe ?,Téhéran,Shiraz,Bagdad,Haïfa,Haïfa,
58,Histoire,En quelle année le premier temple bahá’í a-t-il été construit ?,1844,1853,1863,1908,1908,
59,Histoire,Où se trouve le premier temple bahá’í ?,Téhéran,Shiraz,Bagdad,Achgabat,Achgabat,
60,Histoire,En quelle année le temple bahá’í de Wilmette a-t-il été achevé ?,1921,1937,1953,1963,1953,
61,Histoire,Où se trouve le temple bahá’í de Wilmette ?,Téhéran,Shiraz,Bagdad,États-Unis,États-Unis,
62,Histoire,En quelle année le temple bahá’í de New Delhi a-t-il été achevé ?,1921,1937,1953,1986,1986,
63,Histoire,Où se trouve le temple bahá’í de New Delhi ?,Téhéran,Shiraz,Bagdad,Inde,Inde,
64,Histoire,En quelle année le temple bahá’í de Sydney a-t-il été achevé ?,1921,1937,1953,1961,1961,
65,Histoire,Où se trouve le temple bahá’í de Sydney ?,Téhéran,Shiraz,Bagdad,Australie,Australie,
66,Histoire,En quelle année le temple bahá’í de Kampala a-t-il été achevé ?,1921,1937,1953,1961,1961,
67,Histoire,Où se trouve le temple bahá’í de Kampala ?,Téhéran,Shiraz,Bagdad,Ouganda,Ouganda,
68,Histoire,En quelle année le temple bahá’í de Panama a-t-il été achevé ?,1921,1937,1953,1972,1972,
69,Histoire,Où se trouve le temple bahá’í de Panama ?,Téhéran,Shiraz,Bagdad,Panama,Panama,
70,Principes,Quel est l’un des principes fondamentaux de la foi bahá’íe ?,L’unité de l’humanité,La réincarnation,Le polythéisme,Le matérialisme,L’unité de l’humanité,
71,Principes,Quel principe bahá’í met l’accent sur l’égalité entre les hommes et les femmes ?,L’égalité des sexes,La prière obligatoire,Le jeûne,La méditation,L’égalité des sexes,
72,Principes,Quel principe encourage la recherche indépendante de la vérité ?,L’unité de la religion,La recherche indépendante de la vérité,La justice sociale,L’éducation universelle,La recherche indépendante de la vérité,
73,Principes,Quel principe insiste sur l’harmonie entre la science et la religion ?,L’unité de Dieu,L’harmonie entre science et religion,La méditation,Le jeûne,L’harmonie entre science et religion,
74,Principes,Quel principe prône l’élimination des préjugés ?,L’unité de l’humanité,L’élimination des préjugés,La prière obligatoire,Le jeûne,L’élimination des préjugés,
75,Principes,Quel principe bahá’í met l’accent sur l’égalité entre les races ?,L’unité de l’humanité,L’égalité des races,La justice sociale,L’éducation universelle,L’égalité des races,
76,Principes,Quel principe encourage la résolution pacifique des conflits ?,La paix universelle,L’unité de la religion,La justice sociale,L’éducation universelle,La paix universelle,
77,Principes,Quel principe insiste sur l’importance de l’éducation pour tous ?,L’unité de l’humanité,L’égalité des sexes,L’éducation universelle,La justice sociale,L’éducation universelle,
78,Principes,Quel principe prône la réduction des extrêmes de richesse et de pauvreté ?,La justice sociale,L’unité de l’humanité,L’égalité des sexes,La paix universelle,La justice sociale,
79,Principes,Quel principe met l’accent sur l’harmonie entre la science et la religion ?,L’unité de Dieu,L’harmonie entre science et religion,La méditation,Le jeûne,L’harmonie entre science et religion,
80,Principes,Quel principe encourage la consultation comme méthode de décision ?,La consultation,La prière obligatoire,Le jeûne,La méditation,La consultation,
81,Principes,Quel principe insiste sur l’importance de la famille ?,L’unité de la famille,L’unité de l’humanité,L’égalité des sexes,La justice sociale,L’unité de la famille,
82,Principes,Quel principe met l’accent sur l’élimination des préjugés religieux ?,L’unité de la religion,L’élimination des préjugés,La paix universelle,L’éducation universelle,L’unité de la religion,
83,Principes,Quel principe encourage la coopération entre les nations ?,La paix universelle,L’unité de l’humanité,La justice sociale,L’éducation universelle,La paix universelle,
84,Principes,Quel principe insiste sur l’importance du travail comme forme de culte ?,Le travail comme culte,La prière obligatoire,Le jeûne,La méditation,Le travail comme culte,
85,Principes,Quel principe met l’accent sur l’importance de la langue auxiliaire universelle ?,La langue auxiliaire universelle,L’unité de l’humanité,L’égalité des sexes,La justice sociale,La langue auxiliaire universelle,
86,Principes,Quel principe encourage l’adoption d’un système de gouvernement mondial ?,La paix universelle,L’unité de l’humanité,La justice sociale,L’éducation universelle,La paix universelle,
87,Principes,Quel principe insiste sur l’importance de la modération en toutes choses ?,La modération,La prière obligatoire,Le jeûne,La méditation,La modération,
88,Principes,Quel principe met l’accent sur l’importance de la vérité et de l’honnêteté ?,La vérité et l’honnêteté,L’unité de l’humanité,L’égalité des sexes,La justice sociale,La vérité et l’honnêteté,
89,Principes,Quel principe encourage la protection de l’environnement ?,La protection de l’environnement,L’unité de l’humanité,L’égalité des sexes,La justice sociale,La protection de l’environnement,
90,Principes,Quel principe insiste sur l’importance de la justice dans les affaires humaines ?,La justice sociale,L’unité de l’humanité,L’égalité des sexes,La paix universelle,La justice sociale,
91,Principes,Quel principe met l’accent sur l’importance de la consultation dans la communauté ?,La consultation,La prière obligatoire,Le jeûne,La méditation,La consultation,
92,Principes,Quel principe encourage l’élimination des préjugés de classe ?,L’élimination des préjugés,L’unité de l’humanité,L’égalité des sexes,La justice sociale,L’élimination des préjugés,
93,Principes,Quel principe insiste sur l’importance de la spiritualité dans la vie quotidienne ?,La spiritualité,La prière obligatoire,Le jeûne,La méditation,La spiritualité,
94,Principes,Quel principe met l’accent sur l’importance de la tolérance religieuse ?,La tolérance religieuse,L’unité de l’humanité,L’égalité des sexes,La justice sociale,La tolérance religieuse,
95,Principes,Quel principe encourage l’adoption d’une monnaie universelle ?,La paix universelle,L’unité de l’humanité,La justice sociale,L’éducation universelle,La paix universelle,
96,Principes,Quel principe insiste sur l’importance de la consultation dans la famille ?,La consultation,La prière obligatoire,Le jeûne,La méditation,La consultation,
97,Principes,Quel principe met l’accent sur l’importance de la justice économique ?,La justice sociale,L’unité de l’humanité,L’égalité des sexes,La paix universelle,La justice sociale,
98,Principes,Quel principe encourage l’élimination des préjugés nationaux ?,L’élimination des préjugés,L’unité de l’humanité,L’égalité des sexes,La justice sociale,L’élimination des préjugés,
99,Principes,Quel principe insiste sur l’importance de la consultation dans les affaires ?,La consultation,La prière obligatoire,Le jeûne,La méditation,La consultation,
100,Principes,Quel principe met l’accent sur l’importance de la justice dans les relations internationales ?,La paix universelle,L’unité de l’humanité,La justice sociale,L’éducation universelle,La paix universelle,
101,Principes,Quel principe encourage l’élimination des préjugés culturels ?,L’élimination des préjugés,L’unité de l’humanité,L’égalité des sexes,La justice sociale,L’élimination des préjugés,
102,Principes,Quel principe insiste sur l’importance de la consultation dans la politique ?,La consultation,La prière obligatoire,Le jeûne,La méditation,La consultation,
103,Principes,Quel principe met l’accent sur l’importance de la justice dans les relations sociales ?,La justice sociale,L’unité de l’humanité,L’égalité des sexes,La paix universelle,La justice sociale,
104,Écrits Sacrés,Quel est le livre principal de la foi bahá’íe ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Kitáb-i-Aqdas,
105,Écrits Sacrés,Qui a révélé le Kitáb-i-Aqdas ?,Le Báb,Bahá’u’lláh,‘Abdu’l-Bahá,Shoghi Effendi,Bahá’u’lláh,
106,Écrits Sacrés,Quel écrit est considéré comme le testament de ‘Abdu’l-Bahá ?,Le Kitáb-i-Aqdas,Le Testament de ‘Abdu’l-Bahá,Les Paroles Cachées,Le Livre de la Certitude,Le Testament de ‘Abdu’l-Bahá,
107,Écrits Sacrés,Quel livre a été révélé par le Báb ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Bayán,
108,Écrits Sacrés,Quel écrit contient des conseils spirituels sous forme de courtes sentences ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Les Paroles Cachées,
109,Écrits Sacrés,Quel est le livre le plus saint de la foi bahá’íe ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Kitáb-i-Aqdas,
110,Écrits Sacrés,Qui a révélé le Kitáb-i-Íqán ?,Le Báb,Bahá’u’lláh,‘Abdu’l-Bahá,Shoghi Effendi,Bahá’u’lláh,
111,Écrits Sacrés,Quel écrit contient des lois et des enseignements pour la communauté bahá’íe ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Kitáb-i-Aqdas,
112,Écrits Sacrés,Quel livre a été révélé par le Báb ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Bayán,
113,Écrits Sacrés,Quel écrit est considéré comme le testament de ‘Abdu’l-Bahá ?,Le Kitáb-i-Aqdas,Le Testament de ‘Abdu’l-Bahá,Les Paroles Cachées,Le Livre de la Certitude,Le Testament de ‘Abdu’l-Bahá,
114,Écrits Sacrés,Quel livre contient des prières révélées par Bahá’u’lláh ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre des Prières,Le Livre des Prières,
115,Écrits Sacrés,Quel écrit contient des conseils spirituels sous forme de courtes sentences ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Les Paroles Cachées,
116,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Andrinople ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre de la Certitude,Le Kitáb-i-Íqán,
117,Écrits Sacrés,Quel écrit contient des enseignements sur la nature de Dieu et des prophètes ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Livre de la Certitude,
118,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Bagdad ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre des Prières,Les Paroles Cachées,
119,Écrits Sacrés,Quel écrit contient des lois sur le mariage et l’héritage ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Kitáb-i-Aqdas,
120,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Acre ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre des Prières,Le Kitáb-i-Aqdas,
121,Écrits Sacrés,Quel écrit contient des enseignements sur l’unité de l’humanité ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Kitáb-i-Aqdas,
122,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Constantinople ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre des Prières,Le Kitáb-i-Íqán,
123,Écrits Sacrés,Quel écrit contient des enseignements sur la nature de l’âme ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Les Paroles Cachées,
124,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Andrinople ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre des Prières,Le Kitáb-i-Íqán,
125,Écrits Sacrés,Quel écrit contient des enseignements sur la nature de Dieu et des prophètes ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Livre de la Certitude,
126,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Bagdad ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre des Prières,Les Paroles Cachées,
127,Écrits Sacrés,Quel écrit contient des lois sur le mariage et l’héritage ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Kitáb-i-Aqdas,
128,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Acre ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre des Prières,Le Kitáb-i-Aqdas,
129,Écrits Sacrés,Quel écrit contient des enseignements sur l’unité de l’humanité ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Kitáb-i-Aqdas,
130,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Constantinople ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre des Prières,Le Kitáb-i-Íqán,
131,Écrits Sacrés,Quel écrit contient des enseignements sur la nature de l’âme ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Les Paroles Cachées,
132,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Andrinople ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre des Prières,Le Kitáb-i-Íqán,
133,Écrits Sacrés,Quel écrit contient des enseignements sur la nature de Dieu et des prophètes ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Livre de la Certitude,
134,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Bagdad ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre des Prières,Les Paroles Cachées,
135,Écrits Sacrés,Quel écrit contient des lois sur le mariage et l’héritage ?,Le Kitáb-i-Aqdas,Le Bayán,Les Paroles Cachées,Le Livre de la Certitude,Le Kitáb-i-Aqdas,
136,Écrits Sacrés,Quel livre a été révélé par Bahá’u’lláh pendant son exil à Acre ?,Le Kitáb-i-Aqdas,Le Kitáb-i-Íqán,Les Paroles Cachées,Le Livre des Prières,Le Kitáb-i-Aqdas,
137,Figures Centrales,Qui est cette figure centrale de la foi bahá’íe ?,Bahá’u’lláh,Le Báb,‘Abdu’l-Bahá,Shoghi Effendi,‘Abdu’l-Bahá,abdulbaha.png
138,Figures Centrales,Qui est cette figure centrale de la foi bahá’íe ?,Bahá’u’lláh,Le Báb,‘Abdu’l-Bahá,Shoghi Effendi,Shoghi Effendi,shoghieffendi.png
139,Figures Centrales,Qui est le fondateur de la foi bahá’íe ?,Bahá’u’lláh,Le Báb,‘Abdu’l-Bahá,Shoghi Effendi,Bahá’u’lláh,
140,Figures Centrales,Qui est considéré comme le Précurseur de la foi bahá’íe ?,Bahá’u’lláh,Le Báb,‘Abdu’l-Bahá,Shoghi Effendi,Le Báb,
141,Figures Centrales,Qui était le fils aîné de Bahá’u’lláh ?,Le Báb,‘Abdu’l-Bahá,Shoghi Effendi,Mírzá Yahyá,‘Abdu’l-Bahá,
142,Figures Centrales,Qui a été désigné comme le Gardien de la foi bahá’íe ?,Bahá’u’lláh,Le Báb,‘Abdu’l-Bahá,Shoghi Effendi,Shoghi Effendi,
143,Figures Centrales,Qui était la femme de Bahá’u’lláh ?,Navváb,Rúhíyyih Khánum,Táhirih,Munírih Khánum,Navváb,
144,Figures Centrales,Quel est le titre donné à Bahá’u’lláh ?,Le Promis,Le Précurseur,Le Gardien,L’Interprète,Le Promis,
145,Figures Centrales,Qui a été le premier à reconnaître la mission de Bahá’u’lláh ?,Le Báb,‘Abdu’l-Bahá,Mírzá Yahyá,Shoghi Effendi,Le Báb,
146,Figures Centrales,Quel était le nom de naissance de Bahá’u’lláh ?,Mírzá Husayn-‘Alí,Siyyid ‘Alí-Muhammad,‘Abbás Effendi,Shoghi Rabbani,Mírzá Husayn-‘Alí,
147,Figures Centrales,Qui a été le successeur de Bahá’u’lláh ?,Le Báb,‘Abdu’l-Bahá,Shoghi Effendi,Mírzá Yahyá,‘Abdu’l-Bahá,
148,Figures Centrales,Quel était le titre de ‘Abdu’l-Bahá ?,Le Gardien,Le Centre de l’Alliance,Le Précurseur,Le Promis,Le Centre de l’Alliance,
149,Figures Centrales,Qui a été désigné comme le Gardien de la foi bahá’íe après ‘Abdu’l-Bahá ?,Bahá’u’lláh,Le Báb,Shoghi Effendi,Mírzá Yahyá,Shoghi Effendi,
150,Figures Centrales,Qui était la mère de ‘Abdu’l-Bahá ?,Navváb,Ásíyih Khánum,Táhirih,Munírih Khánum,Ásíyih Khánum,
151,Figures Centrales,Qui a été le principal rival de Bahá’u’lláh au sein de la communauté bábíe ?,Le Báb,Mírzá Yahyá,Abdu’l-Bahá,Shoghi Effendi,Mírzá Yahyá,
152,Figures Centrales,Quel était le titre donné au Báb ?,Le Promis,Le Précurseur,Le Gardien,L’Interprète,Le Précurseur,
153,Figures Centrales,Qui a été la femme de ‘Abdu’l-Bahá ?,Navváb,Munírih Khánum,Táhirih,Rúhíyyih Khánum,Munírih Khánum,
154,Figures Centrales,Qui a été la femme de Shoghi Effendi ?,Navváb,Munírih Khánum,Rúhíyyih Khánum,Táhirih,Rúhíyyih Khánum,
155,Figures Centrales,Quel était le nom de naissance du Báb ?,Mírzá Husayn-‘Alí,Siyyid ‘Alí-Muhammad,‘Abbás Effendi,Shoghi Rabbani,Siyyid ‘Alí-Muhammad,
156,Figures Centrales,Qui a été exécuté en 1850 pour sa foi ?,Bahá’u’lláh,Le Báb,‘Abdu’l-Bahá,Shoghi Effendi,Le Báb,
157,Figures Centrales,Quel était le titre de Shoghi Effendi ?,Le Promis,Le Précurseur,Le Gardien,L’Interprète,Le Gardien,
158,Figures Centrales,Qui a été le père de Bahá’u’lláh ?,Mírzá Buzurg,Mírzá Yahyá,Siyyid ‘Alí-Muhammad,‘Abbás Effendi,Mírzá Buzurg,
159,Figures Centrales,Qui a été la mère de Bahá’u’lláh ?,Navváb,Ásíyih Khánum,Khádijih Bagum,Táhirih,Khádijih Bagum,
160,Figures Centrales,Qui a été la fille de Bahá’u’lláh et de Navváb ?,Ásíyih Khánum,Bahíyyih Khánum,Munírih Khánum,Táhirih,Bahíyyih Khánum,
161,Figures Centrales,Qui a été la femme du Báb ?,Navváb,Khádijih Bagum,Munírih Khánum,Rúhíyyih Khánum,Khádijih Bagum,
162,Figures Centrales,Qui a été le fils de ‘Abdu’l-Bahá et de Munírih Khánum ?,Shoghi Effendi,Mírzá Yahyá,Bahá’u’lláh,Le Báb,Shoghi Effendi,
163,Figures Centrales,Qui a été la mère de Shoghi Effendi ?,Ásíyih Khánum,Munírih Khánum,Bahíyyih Khánum,Rúhíyyih Khánum,Munírih Khánum,
164,Figures Centrales,Qui a été la sœur de Bahá’u’lláh ?,Ásíyih Khánum,Bahíyyih Khánum,Munírih Khánum,Táhirih,Bahíyyih Khánum,
165,Figures Centrales,Qui a été la première épouse de Bahá’u’lláh ?,Navváb,Ásíyih Khánum,Khádijih Bagum,Táhirih,Navváb,
166,Figures Centrales,Qui a été la deuxième épouse de Bahá’u’lláh ?,Ásíyih Khánum,Khádijih Bagum,Munírih Khánum,Táhirih,Ásíyih Khánum,
167,Figures Centrales,Qui a été la troisième épouse de Bahá’u’lláh ?,Navváb,Ásíyih Khánum,Gawhar Khánum,Táhirih,Gawhar Khánum,
168,Figures Centrales,Qui a été la mère de ‘Abdu’l-Bahá ?,Navváb,Ásíyih Khánum,Khádijih Bagum,Táhirih,Ásíyih Khánum,
169,Figures Centrales,Qui a été la mère de Shoghi Effendi ?,Munírih Khánum,Ásíyih Khánum,Bahíyyih Khánum,Rúhíyyih Khánum,Munírih Khánum,
170,Figures Centrales,Qui a été la femme de Shoghi Effendi ?,Rúhíyyih Khánum,Munírih Khánum,Ásíyih Khánum,Táhirih,Rúhíyyih Khánum,
171,Figures Centrales,Qui a été la mère de Bahíyyih Khánum ?,Navváb,Ásíyih Khánum,Khádijih Bagum,Táhirih,Navváb,
172,Figures Centrales,Qui a été la mère de Munírih Khánum ?,Navváb,Ásíyih Khánum,Khádijih Bagum,Táhirih,Khádijih Bagum,
173,Figures Centrales,Qui a été la mère de Rúhíyyih Khánum ?,Munírih Khánum,Ásíyih Khánum,Bahíyyih Khánum,Táhirih,Munírih Khánum,
174,Symboles,Quel symbole bahá’í est représenté ici ?,L’étoile à neuf branches,Le symbole du plus grand nom,Le sceau du Báb,Le symbole de la main,L’étoile à neuf branches,etoile_neuf_branches.png
